name,BRI,gri,g'r'i'
SDSS-II SN 6367,False,False,True
SDSS-II SN 19024,False,False,True
SDSS-II SN 21169,False,False,True
PS1-11p,False,True,False
SDSS-II SN 14549,False,False,True
SN2005lp,False,False,True
SN2006ft,False,False,True
SDSS-II SN 19387,False,False,True
SDSS-II SN 15041,False,False,True
SN2006hr,False,False,True
SDSS-II SN 3959,False,False,True
SDSS-II SN 5039,False,False,True
SDSS-II SN 21529,False,False,True
LSQ13ccw,True,False,False
SDSS-II SN 19119,False,False,True
SDSS-II SN 20191,False,False,True
SNLS-04D1qd,False,True,False
SDSS-II SN 13716,False,False,True
SDSS-II SN 6282,False,False,True
SDSS-II SN 19780,False,False,True
SDSS-II SN 4465,False,False,True
SDSS-II SN 15796,False,False,True
PS1-10bkf,False,True,False
SDSS-II SN 13771,False,False,True
SDSS-II SN 15406,False,False,True
SN2011ht,True,False,False
SN2006ga,False,False,True
SDSS-II SN 7644,False,False,True
SN1999aa,True,False,False
SNLS-06D3gh,False,True,False
SDSS-II SN 15454,False,False,True
SDSS-II SN 8411,False,False,True
SDSS-II SN 20658,False,False,True
ASASSN-17cv,False,True,False
SDSS-II SN 21451,False,False,True
SDSS-II SN 20987,False,False,True
SN2007ju,False,False,True
SDSS-II SN 7372,False,False,True
SN1990O,True,False,False
SDSS-II SN 17936,False,False,True
SDSS-II SN 3068,False,False,True
SN2016J,False,True,False
SDSS-II SN 19716,False,False,True
SDSS-II SN 14470,False,False,True
SN2007rf,False,False,True
SN1997D,True,False,False
SDSS-II SN 1866,False,False,True
SDSS-II SN 19535,False,False,True
SDSS-II SN 18395,False,False,True
SDSS-II SN 15712,False,False,True
SDSS-II SN 15979,False,False,True
SDSS-II SN 17107,False,False,True
SDSS-II SN 4079,False,False,True
SDSS-II SN 20171,False,False,True
SDSS-II SN 15967,False,False,True
PS15aii,False,True,False
SN2007my,False,False,True
SDSS-II SN 19169,False,False,True
SDSS-II SN 1257,False,False,True
Gaia15ace,False,True,False
PS1-10bls,False,True,False
SN2005li,False,False,True
SDSS-II SN 8485,False,False,True
SDSS-II SN 2615,False,False,True
SDSS-II SN 18827,False,False,True
SDSS-II SN 17844,False,False,True
SN2006fc,False,False,True
SDSS-II SN 15324,False,False,True
SDSS-II SN 20907,False,False,True
SDSS-II SN 19593,False,False,True
SDSS-II SN 13076,False,False,True
SDSS-II SN 14142,False,False,True
SDSS-II SN 19756,False,False,True
SDSS-II SN 12865,False,False,True
SDSS-II SN 18175,False,False,True
SDSS-II SN 18062,False,False,True
PS15ahs,False,True,False
SDSS-II SN 19492,False,False,True
SDSS-II SN 15874,False,False,True
SDSS-II SN 893,False,False,True
SDSS-II SN 2342,False,False,True
SDSS-II SN 14672,False,False,True
PS15brr,False,True,False
SDSS-II SN 21433,False,False,True
SDSS-II SN 14046,False,False,True
